candidate_id,rank,score,reasoning
CAND_0028793,29,0.9385,"Search Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Embeddings, LoRA, Learning to Rank; response rate 57%. Strong end-to-end fit."
CAND_0011162,30,0.9373,"Recommendation Systems Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Weights & Biases, FAISS, Vector Search; response rate 75%. Strong end-to-end fit."
CAND_0007009,31,0.9372,"Recommendation Systems Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. Weaviate, Python, Embeddings; response rate 62%. Strong end-to-end fit."
CAND_0009024,32,0.9365,"Search Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. Qdrant, PEFT, FAISS; response rate 46%. Strong end-to-end fit."
CAND_0093912,33,0.9361,"Senior Data Scientist, 5 yrs; career shows production ranking/retrieval work; skills incl. Milvus, Embeddings, Recommendation Systems; response rate 66%. Strong end-to-end fit."
CAND_0014440,34,0.9358,"Recommendation Systems Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Elasticsearch, Milvus, FAISS; response rate 64%. Strong end-to-end fit."
CAND_0074735,35,0.9346,"Applied ML Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. RAG, Weaviate, Information Retrieval; response rate 77%. Strong end-to-end fit."
CAND_0054123,36,0.9338,"Applied ML Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. Python, Weaviate, Qdrant; response rate 87%. Strong end-to-end fit."
CAND_0075574,37,0.9315,"Machine Learning Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Weaviate, Recommendation Systems, OpenSearch; response rate 58%. Strong end-to-end fit."
CAND_0006557,38,0.9299,"NLP Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. Elasticsearch, OpenSearch, Vector Search; response rate 63%. Strong end-to-end fit."
CAND_0050454,39,0.9283,"AI Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. QLoRA, FAISS, Qdrant; response rate 77%. Strong end-to-end fit."
CAND_0077285,40,0.9279,"Recommendation Systems Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. LoRA, Pinecone, Sentence Transformers; response rate 56%. Strong end-to-end fit."
CAND_0024620,41,0.9275,"AI Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Semantic Search, Information Retrieval, Python; response rate 41%. Strong end-to-end fit."
CAND_0006567,42,0.9251,"Senior AI Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. NLP, Python, Recommendation Systems; response rate 79%. Strong end-to-end fit."
CAND_0079284,43,0.9251,"Machine Learning Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. Recommendation Systems, QLoRA, Qdrant; response rate 79%. Strong end-to-end fit."
CAND_0017960,44,0.9250,"Recommendation Systems Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. QLoRA, Qdrant, PEFT; response rate 72%. Strong end-to-end fit."
CAND_0051292,45,0.9249,"Applied ML Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. FAISS, Vector Search, PEFT; response rate 52%. Strong end-to-end fit."
CAND_0018549,46,0.9247,"Recommendation Systems Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Weaviate, Elasticsearch, Qdrant; response rate 73%. Strong end-to-end fit."
CAND_0025882,47,0.9245,"Senior Software Engineer (ML), 6 yrs; career shows production ranking/retrieval work; skills incl. MLflow, FAISS, Vector Search; response rate 79%. Strong end-to-end fit."
CAND_0081053,48,0.9240,"NLP Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. LoRA, QLoRA, Qdrant; response rate 83%. Strong end-to-end fit."
CAND_0070398,49,0.9225,"Machine Learning Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. RAG, FAISS, Embeddings; response rate 60%. Strong end-to-end fit."
CAND_0030031,50,0.9224,"AI Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Information Retrieval, Python, NLP; response rate 94%. Strong end-to-end fit."
CAND_0026532,51,0.9198,"Recommendation Systems Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. LoRA, PEFT, Embeddings; response rate 52%. Strong end-to-end fit."
CAND_0068811,52,0.9194,"Applied ML Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. Vector Search, Qdrant, Embeddings; response rate 42%. Strong end-to-end fit."
CAND_0011432,53,0.9181,"Senior Data Scientist, 8 yrs; career shows production ranking/retrieval work; skills incl. OpenSearch, PEFT, QLoRA; response rate 67%. Strong end-to-end fit."
CAND_0037566,54,0.9176,"Machine Learning Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Pinecone, NLP, LoRA; response rate 50%. Strong end-to-end fit."
CAND_0036437,55,0.9170,"Search Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. OpenSearch, Elasticsearch, Sentence Transformers; response rate 87%. Strong end-to-end fit."
CAND_0007412,56,0.9166,"Applied ML Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Pinecone, Milvus, RAG; response rate 76%. Strong end-to-end fit."
CAND_0068351,57,0.9154,"Lead AI Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Qdrant, Elasticsearch, PEFT; response rate 86%. Strong end-to-end fit."
CAND_0052682,58,0.9135,"NLP Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. QLoRA, Semantic Search, FAISS; response rate 88%. Strong end-to-end fit."
CAND_0009691,59,0.9134,"Applied ML Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Recommendation Systems, LoRA, Pinecone; response rate 64%. Strong end-to-end fit."
CAND_0053695,60,0.9129,"Recommendation Systems Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Pinecone, Weights & Biases, Recommendation Systems; response rate 60%. Strong end-to-end fit."
CAND_0080766,61,0.9124,"Staff Machine Learning Engineer, 9 yrs; career shows production ranking/retrieval work; skills incl. LoRA, MLflow, Elasticsearch; response rate 66%. Strong end-to-end fit."
CAND_0011687,62,0.9122,"Senior NLP Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. OpenSearch, FAISS, PEFT; response rate 89%. Strong end-to-end fit."
CAND_0049538,63,0.9116,"Applied ML Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. MLflow, Learning to Rank, OpenSearch; response rate 72%. Strong end-to-end fit."
CAND_0005538,64,0.9109,"Senior AI Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. QLoRA, Python, LoRA; response rate 81%. Strong end-to-end fit."
CAND_0098846,65,0.9109,"AI Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. PEFT, QLoRA, Qdrant; response rate 62%. Strong end-to-end fit."
CAND_0040178,66,0.9100,"ML Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. Weaviate, Vector Search, Learning to Rank; response rate 55%. Strong end-to-end fit."
CAND_0064904,67,0.9099,"AI Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. Embeddings, Elasticsearch, Python; response rate 78%. Strong end-to-end fit."
CAND_0061655,68,0.9090,"Machine Learning Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. PEFT, Pinecone, Qdrant; response rate 88%. Strong end-to-end fit."
CAND_0018722,69,0.9079,"Recommendation Systems Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Weaviate, Python, Recommendation Systems; response rate 79%. Strong end-to-end fit."
CAND_0054100,70,0.9079,"Junior ML Engineer, 6 yrs; skills incl. Vector Search, Semantic Search, QLoRA; response rate 79%. Strong end-to-end fit."
CAND_0083307,71,0.9075,"Search Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. Embeddings, Weights & Biases, QLoRA; response rate 70%. Strong end-to-end fit."
CAND_0088385,72,0.9068,"Computer Vision Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Learning to Rank, Weights & Biases, Milvus; response rate 57%. Strong end-to-end fit."
CAND_0075249,73,0.9043,"Applied ML Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Sentence Transformers, Milvus, MLflow; response rate 82%. Strong end-to-end fit."
CAND_0036184,74,0.9040,"Recommendation Systems Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. QLoRA, FAISS, Semantic Search; response rate 90%. Strong end-to-end fit."
CAND_0000031,75,0.9016,"Recommendation Systems Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. MLflow, FAISS, Pinecone; response rate 91%. Strong end-to-end fit."
CAND_0031593,76,0.9010,"Search Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. Recommendation Systems, Weights & Biases, Embeddings; response rate 58%. Strong end-to-end fit."
CAND_0073504,77,0.9005,"Junior ML Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Elasticsearch, RAG, MLflow; response rate 78%. Strong end-to-end fit."
CAND_0043228,78,0.9001,"Applied ML Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. NLP, Vector Search, Sentence Transformers; response rate 41%. Strong end-to-end fit."
CAND_0044855,79,0.8993,"Senior Data Scientist, 7 yrs; career shows production ranking/retrieval work; skills incl. Learning to Rank, OpenSearch, Information Retrieval; response rate 57%. Strong end-to-end fit."
CAND_0076163,80,0.8980,"NLP Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Weaviate, Semantic Search, Sentence Transformers; response rate 84%. Strong end-to-end fit."
CAND_0058688,81,0.8946,"AI Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Embeddings, Information Retrieval, Milvus; response rate 74%. Strong end-to-end fit."
CAND_0092255,82,0.8938,"ML Engineer, 5 yrs; skills incl. Weaviate, Semantic Search, OpenSearch; response rate 38%. Strong end-to-end fit."
CAND_0047521,83,0.8937,"Junior ML Engineer, 4 yrs; career shows production ranking/retrieval work; skills incl. Pinecone, RAG, Embeddings; response rate 83%. Strong end-to-end fit."
CAND_0044262,84,0.8936,"Data Scientist, 7 yrs; career shows production ranking/retrieval work; skills incl. Python, OpenSearch, MLflow; response rate 73%. Strong end-to-end fit."
CAND_0012957,85,0.8929,"Search Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. RAG, PEFT, Qdrant; response rate 67%. Strong end-to-end fit."
CAND_0075439,86,0.8927,"Machine Learning Engineer, 4 yrs; career shows production ranking/retrieval work; skills incl. Learning to Rank, LoRA, Elasticsearch; response rate 56%. Strong end-to-end fit."
CAND_0015578,87,0.8916,"AI Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. Embeddings, NLP, Kafka; response rate 65%. Strong end-to-end fit."
CAND_0032216,88,0.8906,"ML Engineer, 6 yrs; skills incl. Learning to Rank, Information Retrieval, Qdrant; response rate 35%. Strong end-to-end fit."
CAND_0080344,89,0.8903,"Senior Software Engineer (ML), 5 yrs; career shows production ranking/retrieval work; skills incl. Sentence Transformers, Recommendation Systems, Weights & Biases; response rate 70%. Strong end-to-end fit."
CAND_0040117,90,0.8884,"Recommendation Systems Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Embeddings, RAG, FAISS; response rate 66%. Strong end-to-end fit."
CAND_0029671,91,0.8866,"Data Scientist, 6 yrs; skills incl. PEFT, Embeddings, Qdrant; response rate 50%. Strong end-to-end fit."
CAND_0091909,92,0.8850,"Machine Learning Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Pinecone, QLoRA, Qdrant; response rate 65%. Strong end-to-end fit."
CAND_0094759,93,0.8841,"Lead AI Engineer, 9 yrs; career shows production ranking/retrieval work; skills incl. Learning to Rank, Semantic Search, Qdrant; response rate 11%. Strong end-to-end fit."
CAND_0042506,94,0.8822,"Search Engineer, 4 yrs; career shows production ranking/retrieval work; skills incl. PEFT, Semantic Search, Information Retrieval; response rate 48%. Strong end-to-end fit."
CAND_0048469,95,0.8817,"Computer Vision Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. Embeddings, Qdrant, Milvus; response rate 59%. Strong end-to-end fit."
CAND_0006418,96,0.8799,"Machine Learning Engineer, 6 yrs; skills incl. Semantic Search, Embeddings, Weaviate; response rate 92%. Strong end-to-end fit."
CAND_0030953,97,0.8796,"Search Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. Learning to Rank, Qdrant, Python; response rate 63%. Strong end-to-end fit."
CAND_0024466,98,0.8788,"Search Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. Recommendation Systems, LoRA, NLP; response rate 47%. Strong end-to-end fit."
CAND_0037980,99,0.8781,"Senior Applied Scientist, 9 yrs; career shows production ranking/retrieval work; skills incl. LoRA, NLP, QLoRA; response rate 63%. Strong end-to-end fit."
CAND_0058575,100,0.8774,"AI Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Recommendation Systems, Pinecone, Sentence Transformers; response rate 69%. Strong end-to-end fit."
